"","origen","destino"
"1","ciudad-de-mexico","morelia"
"2","ciudad-de-mexico","uruapan"
"3","ciudad-de-mexico","colima"
"4","ciudad-de-mexico","manzanillo"
"5","ciudad-de-mexico","guadalajara"
"6","ciudad-de-mexico","puerto-vallarta"
"7","ciudad-de-mexico","tepic"
"8","ciudad-de-mexico","leon"
"9","ciudad-de-mexico","guanajuato"
"10","ciudad-de-mexico","santiago-de-queretaro"
"11","ciudad-de-mexico","tampico"
"12","ciudad-de-mexico","san-luis-potosi"
"13","ciudad-de-mexico","ciudad-victoria"
"14","ciudad-de-mexico","zacatecas"
"15","ciudad-de-mexico","aguascalientes"
"16","ciudad-de-mexico","durango"
"17","ciudad-de-mexico","mazatlan"
"18","ciudad-de-mexico","culiacan"
"19","ciudad-de-mexico","saltillo"
"20","ciudad-de-mexico","monterrey"
"21","ciudad-de-mexico","torreon"
"22","ciudad-de-mexico","reynosa"
"23","ciudad-de-mexico","nuevo-laredo"
"24","ciudad-de-mexico","chihuahua"
"25","ciudad-de-mexico","delicias"
"26","ciudad-de-mexico","los-mochis"
"27","ciudad-de-mexico","ciudad-obregon"
"28","ciudad-de-mexico","hermosillo"
"29","ciudad-de-mexico","mexicali"
"30","ciudad-de-mexico","tijuana"
"31","ciudad-de-mexico","ensenada"
"32","ciudad-de-mexico","la-paz-bs"
"33","ciudad-de-mexico","ciudad-juarez"
"34","ciudad-de-mexico","san-jose-del-cabo"
"35","guadalajara","morelia"
"36","guadalajara","uruapan"
"37","guadalajara","colima"
"38","guadalajara","manzanillo"
"39","guadalajara","puerto-vallarta"
"40","guadalajara","tepic"
"41","guadalajara","leon"
"42","guadalajara","guanajuato"
"43","guadalajara","santiago-de-queretaro"
"44","guadalajara","tampico"
"45","guadalajara","san-luis-potosi"
"46","guadalajara","ciudad-victoria"
"47","guadalajara","zacatecas"
"48","guadalajara","aguascalientes"
"49","guadalajara","durango"
"50","guadalajara","mazatlan"
"51","guadalajara","culiacan"
"52","guadalajara","saltillo"
"53","guadalajara","monterrey"
"54","guadalajara","torreon"
"55","guadalajara","reynosa"
"56","guadalajara","nuevo-laredo"
"57","guadalajara","chihuahua"
"58","guadalajara","delicias"
"59","guadalajara","los-mochis"
"60","guadalajara","ciudad-obregon"
"61","guadalajara","hermosillo"
"62","guadalajara","mexicali"
"63","guadalajara","tijuana"
"64","guadalajara","ensenada"
"65","guadalajara","la-paz-bs"
"66","guadalajara","ciudad-de-mexico"
"67","guadalajara","ciudad-juarez"
"68","guadalajara","san-jose-del-cabo"
"69","monterrey","morelia"
"70","monterrey","uruapan"
"71","monterrey","colima"
"72","monterrey","manzanillo"
"73","monterrey","guadalajara"
"74","monterrey","puerto-vallarta"
"75","monterrey","tepic"
"76","monterrey","leon"
"77","monterrey","guanajuato"
"78","monterrey","santiago-de-queretaro"
"79","monterrey","tampico"
"80","monterrey","san-luis-potosi"
"81","monterrey","ciudad-victoria"
"82","monterrey","zacatecas"
"83","monterrey","aguascalientes"
"84","monterrey","durango"
"85","monterrey","mazatlan"
"86","monterrey","culiacan"
"87","monterrey","saltillo"
"88","monterrey","ciudad-de-mexico"
"89","monterrey","torreon"
"90","monterrey","reynosa"
"91","monterrey","nuevo-laredo"
"92","monterrey","chihuahua"
"93","monterrey","delicias"
"94","monterrey","los-mochis"
"95","monterrey","ciudad-obregon"
"96","monterrey","hermosillo"
"97","monterrey","mexicali"
"98","monterrey","tijuana"
"99","monterrey","ensenada"
"100","monterrey","la-paz-bs"
"101","monterrey","ciudad-juarez"
"102","monterrey","san-jose-del-cabo"
"103","tijuana","morelia"
"104","tijuana","uruapan"
"105","tijuana","colima"
"106","tijuana","manzanillo"
"107","tijuana","guadalajara"
"108","tijuana","puerto-vallarta"
"109","tijuana","tepic"
"110","tijuana","leon"
"111","tijuana","guanajuato"
"112","tijuana","santiago-de-queretaro"
"113","tijuana","tampico"
"114","tijuana","san-luis-potosi"
"115","tijuana","ciudad-victoria"
"116","tijuana","zacatecas"
"117","tijuana","aguascalientes"
"118","tijuana","durango"
"119","tijuana","mazatlan"
"120","tijuana","culiacan"
"121","tijuana","saltillo"
"122","tijuana","ciudad-de-mexico"
"123","tijuana","torreon"
"124","tijuana","reynosa"
"125","tijuana","nuevo-laredo"
"126","tijuana","chihuahua"
"127","tijuana","delicias"
"128","tijuana","los-mochis"
"129","tijuana","ciudad-obregon"
"130","tijuana","hermosillo"
"131","tijuana","mexicali"
"132","tijuana","monterrey"
"133","tijuana","ensenada"
"134","tijuana","la-paz-bs"
"135","tijuana","ciudad-juarez"
"136","tijuana","san-jose-del-cabo"
"137","santiago-de-queretaro","guadalajara"
"138","santiago-de-queretaro","tijuana"
"139","santiago-de-queretaro","monterrey"
"140","zacatecas","guadalajara"
"141","zacatecas","tijuana"
"142","zacatecas","monterrey"
"143","aguascalientes","guadalajara"
"144","aguascalientes","tijuana"
"145","aguascalientes","monterrey"
"146","san-luis-potosi","guadalajara"
"147","san-luis-potosi","tijuana"
"148","san-luis-potosi","monterrey"
"149","leon","guadalajara"
"150","leon","tijuana"
"151","leon","monterrey"
"152","chihuahua","guadalajara"
"153","chihuahua","tijuana"
"154","chihuahua","monterrey"
"155","hermosillo","guadalajara"
"156","hermosillo","tijuana"
"157","hermosillo","monterrey"
"158","tepic","guadalajara"
"159","tepic","tijuana"
"160","tepic","monterrey"
"161","tampico","guadalajara"
"162","tampico","tijuana"
"163","tampico","monterrey"
"164","ciudad-juarez","guadalajara"
"165","ciudad-juarez","tijuana"
"166","ciudad-juarez","monterrey"
"167","durango","guadalajara"
"168","durango","tijuana"
"169","durango","monterrey"
"170","toluca","guadalajara"
"171","toluca","tijuana"
"172","toluca","monterrey"
"173","guadalajara","toluca"
"174","tijuana","toluca"
"175","monterrey","toluca"
"176","ciudad-de-mexico","cuernavaca"
"177","ciudad-de-mexico","chilpancingo"
"178","ciudad-de-mexico","zihuatanejo"
"179","ciudad-de-mexico","acapulco"
"180","ciudad-de-mexico","tehuacan"
"181","ciudad-de-mexico","puebla"
"182","ciudad-de-mexico","xalapa"
"183","ciudad-de-mexico","cordoba"
"184","ciudad-de-mexico","veracruz"
"185","ciudad-de-mexico","poza-rica"
"186","ciudad-de-mexico","orizaba"
"187","ciudad-de-mexico","coatzacoalcos"
"188","ciudad-de-mexico","oaxaca"
"189","ciudad-de-mexico","huatulco"
"190","ciudad-de-mexico","puerto-escondido"
"191","ciudad-de-mexico","salina-cruz"
"192","ciudad-de-mexico","minatitlan"
"193","ciudad-de-mexico","cardenas"
"194","ciudad-de-mexico","villahermosa"
"195","ciudad-de-mexico","tuxtla-gutierrez"
"196","ciudad-de-mexico","palenque"
"197","ciudad-de-mexico","ciudad-del-carmen"
"198","ciudad-de-mexico","campeche"
"199","ciudad-de-mexico","merida"
"200","ciudad-de-mexico","cancun"
"201","ciudad-de-mexico","chetumal"
"202","ciudad-de-mexico","playa-del-carmen"
"203","ciudad-de-mexico","tulum"
"204","ciudad-de-mexico","tapachula"
"205","puebla","veracruz"
"206","puebla","xalapa"
"207","puebla","cordoba"
"208","puebla","orizaba"
"209","puebla","coatzacoalcos"
"210","puebla","minatitlan"
"211","puebla","cardenas"
"212","puebla","villahermosa"
"213","puebla","oaxaca"
"214","puebla","puerto-escondido"
"215","puebla","huatulco"
"216","puebla","ciudad-del-carmen"
"217","puebla","campeche"
"218","puebla","merida"
"219","puebla","cancun"
"220","puebla","playa-del-carmen"
"221","puebla","tulum"
"222","puebla","chetumal"
"223","puebla","tuxtla-gutierrez"
"224","puebla","palenque"
"225","puebla","ciudad-de-mexico"
"226","oaxaca","tehuacan"
"227","oaxaca","puebla"
"228","oaxaca","puerto-escondido"
"229","oaxaca","huatulco"
"230","oaxaca","veracruz"
"231","oaxaca","cordoba"
"232","oaxaca","orizaba"
"233","oaxaca","xalapa"
"234","oaxaca","coatzacoalcos"
"235","oaxaca","minatitlan"
"236","oaxaca","cardenas"
"237","oaxaca","villahermosa"
"238","oaxaca","ciudad-del-carmen"
"239","oaxaca","palenque"
"240","oaxaca","tuxtla-gutierrez"
"241","oaxaca","campeche"
"242","oaxaca","merida"
"243","oaxaca","cancun"
"244","oaxaca","ciudad-de-mexico"
"245","oaxaca","chetumal"
"246","veracruz","ciudad-de-mexico"
"247","veracruz","puebla"
"248","veracruz","puerto-escondido"
"249","veracruz","huatulco"
"250","veracruz","cordoba"
"251","veracruz","orizaba"
"252","veracruz","xalapa"
"253","veracruz","coatzacoalcos"
"254","veracruz","minatitlan"
"255","veracruz","cardenas"
"256","veracruz","villahermosa"
"257","veracruz","ciudad-del-carmen"
"258","veracruz","palenque"
"259","veracruz","tuxtla-gutierrez"
"260","veracruz","campeche"
"261","veracruz","merida"
"262","veracruz","cancun"
"263","veracruz","chetumal"
"264","villahermosa","ciudad-de-mexico"
"265","villahermosa","puebla"
"266","villahermosa","puerto-escondido"
"267","villahermosa","huatulco"
"268","villahermosa","cordoba"
"269","villahermosa","orizaba"
"270","villahermosa","xalapa"
"271","villahermosa","coatzacoalcos"
"272","villahermosa","minatitlan"
"273","villahermosa","cardenas"
"274","villahermosa","veracruz"
"275","villahermosa","ciudad-del-carmen"
"276","villahermosa","palenque"
"277","villahermosa","tuxtla-gutierrez"
"278","villahermosa","campeche"
"279","villahermosa","merida"
"280","villahermosa","cancun"
"281","villahermosa","tapachula"
"282","villahermosa","chetumal"
"283","tuxtla-gutierrez","ciudad-de-mexico"
"284","tuxtla-gutierrez","puebla"
"285","tuxtla-gutierrez","puerto-escondido"
"286","tuxtla-gutierrez","huatulco"
"287","tuxtla-gutierrez","cordoba"
"288","tuxtla-gutierrez","orizaba"
"289","tuxtla-gutierrez","xalapa"
"290","tuxtla-gutierrez","coatzacoalcos"
"291","tuxtla-gutierrez","minatitlan"
"292","tuxtla-gutierrez","cardenas"
"293","tuxtla-gutierrez","veracruz"
"294","tuxtla-gutierrez","ciudad-del-carmen"
"295","tuxtla-gutierrez","palenque"
"296","tuxtla-gutierrez","villahermosa"
"297","tuxtla-gutierrez","campeche"
"298","tuxtla-gutierrez","merida"
"299","tuxtla-gutierrez","cancun"
"300","tuxtla-gutierrez","tapachula"
"301","tuxtla-gutierrez","chetumal"
"302","campeche","ciudad-de-mexico"
"303","campeche","puebla"
"304","campeche","puerto-escondido"
"305","campeche","huatulco"
"306","campeche","cordoba"
"307","campeche","orizaba"
"308","campeche","xalapa"
"309","campeche","coatzacoalcos"
"310","campeche","minatitlan"
"311","campeche","cardenas"
"312","campeche","veracruz"
"313","campeche","ciudad-del-carmen"
"314","campeche","palenque"
"315","campeche","villahermosa"
"316","campeche","tapachula"
"317","campeche","tuxtla-gutierrez"
"318","campeche","merida"
"319","campeche","cancun"
"320","campeche","chetumal"
"321","merida","ciudad-de-mexico"
"322","merida","puebla"
"323","merida","puerto-escondido"
"324","merida","huatulco"
"325","merida","cordoba"
"326","merida","orizaba"
"327","merida","xalapa"
"328","merida","coatzacoalcos"
"329","merida","minatitlan"
"330","merida","cardenas"
"331","merida","veracruz"
"332","merida","ciudad-del-carmen"
"333","merida","palenque"
"334","merida","villahermosa"
"335","merida","tapachula"
"336","merida","tuxtla-gutierrez"
"337","merida","campeche"
"338","merida","cancun"
"339","merida","chetumal"
"340","cancun","ciudad-de-mexico"
"341","cancun","puebla"
"342","cancun","puerto-escondido"
"343","cancun","huatulco"
"344","cancun","cordoba"
"345","cancun","orizaba"
"346","cancun","xalapa"
"347","cancun","coatzacoalcos"
"348","cancun","minatitlan"
"349","cancun","cardenas"
"350","cancun","veracruz"
"351","cancun","ciudad-del-carmen"
"352","cancun","palenque"
"353","cancun","villahermosa"
"354","cancun","tapachula"
"355","cancun","tuxtla-gutierrez"
"356","cancun","campeche"
"357","cancun","merida"
"358","cancun","chetumal"
